tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,budget,openingweekend
tt1473832,movie,Bridget Joness Baby,Bridget Joness Baby,0,2016,\N,118,"Comedy,Romance",35000000.0,8571785.0
tt1477076,movie,Saw 3D: The Final Chapter,Saw 3D,0,2010,\N,90,"Horror,Mystery",20000000.0,24230123.0
tt1477715,movie,This Is It,This Is It,0,2009,\N,111,"Documentary,Music",60000000.0,23234394.0
tt1478338,movie,Bridesmaids,Bridesmaids,0,2011,\N,125,"Comedy,Romance",32500000.0,26247410.0
tt1478964,movie,Attack the Block,Attack the Block,0,2011,\N,88,"Action,Comedy,Sci-Fi",13000000.0,137580.0
tt1480656,movie,Cosmopolis,Cosmopolis,0,2012,\N,109,Drama,20500000.0,70339.0
tt1482459,movie,The Lorax,The Lorax,0,2012,\N,86,"Adventure,Animation,Comedy",70000000.0,70217070.0
tt1483010,movie,Logan,Logan,0,2010,\N,94,"Comedy,Drama,Family",135000.0,7137.0
tt1483013,movie,Oblivion,Oblivion,0,2013,\N,124,"Action,Adventure,Mystery",120000000.0,37054485.0
tt1483324,movie,At Middleton,At Middleton,0,2013,\N,99,"Comedy,Romance",2500000.0,3458.0
tt1484522,movie,8: The Mormon Proposition,8: The Mormon Proposition,0,2010,\N,80,Documentary,2500000.0,14093.0
tt1486185,movie,Red Riding Hood,Red Riding Hood,0,2011,\N,100,"Fantasy,Horror,Mystery",42000000.0,14005335.0
tt1486193,movie,5 Days of War,5 Days of War,0,2011,\N,113,"Action,Drama,War",20000000.0,6254.0
tt1487931,movie,Khumba,Khumba,0,2013,\N,85,"Adventure,Animation,Family",20000000.0,1029.0
tt1488555,movie,The Change-Up,The Change-Up,0,2011,\N,112,"Comedy,Fantasy",52000000.0,13531115.0
tt1489889,movie,Central Intelligence,Central Intelligence,0,2016,\N,107,"Action,Comedy,Crime",50000000.0,35535250.0
tt1490785,movie,I Saw the Light,I Saw the Light,0,2015,\N,123,"Biography,Drama,Music",13000000.0,45471.0
tt1496025,movie,Underworld Awakening,Underworld Awakening,0,2012,\N,88,"Action,Fantasy,Horror",70000000.0,25306725.0
tt1496422,movie,The Paperboy,The Paperboy,0,2012,\N,107,"Drama,Thriller",12500000.0,102706.0
tt1498569,movie,Restless,Restless,0,2011,\N,91,"Drama,Romance",15000000.0,15467.0
tt1499302,movie,"Filth to Ashes, Flesh to Dust","Filth to Ashes, Flesh to Dust",0,2011,\N,90,Horror,100000.0,86086.0
tt1499658,movie,Horrible Bosses,Horrible Bosses,0,2011,\N,98,"Comedy,Crime",35000000.0,28302165.0
tt1502404,movie,Drive Angry,Drive Angry,0,2011,\N,104,"Action,Fantasy,Thriller",50000000.0,5187625.0
tt1502714,movie,Monogamy,Monogamy,0,2010,\N,96,"Drama,Romance",5000000.0,4476.0
tt1506999,movie,Haywire,Haywire,0,2011,\N,93,"Action,Thriller",23000000.0,8425370.0
tt1508290,movie,Caterpillar,Kyatapirâ,0,2010,\N,85,"Drama,War",120000.0,2109.0
tt1509767,movie,The Three Musketeers,The Three Musketeers,0,2011,\N,110,"Action,Adventure,Romance",75000000.0,8674452.0
tt1510907,movie,Behind the Burly Q,Behind the Burly Q,0,2010,\N,97,Documentary,250000.0,3958.0
tt1510940,movie,The Gray Area,The Gray Area,0,2010,\N,95,Drama,45000.0,3099.0
tt1512235,movie,Super,Super,0,2010,\N,96,"Comedy,Drama",2500000.0,46549.0
tt1516541,movie,Homeless for the Holidays,Homeless for the Holidays,0,2009,\N,105,Drama,20000.0,15350.0
tt1591479,movie,Act of Valor,Act of Valor,0,2012,\N,110,"Action,Adventure,Drama",12000000.0,10121.0
tt1592525,movie,Lockout,Lockout,0,2012,\N,95,"Action,Adventure,Sci-Fi",20000000.0,6231836.0
tt1621039,movie,Free Birds,Free Birds,0,2013,\N,91,"Adventure,Animation,Comedy",55000000.0,15805237.0
tt1621045,movie,Think Like a Man,Think Like a Man,0,2012,\N,122,"Comedy,Romance",12000000.0,33000000.0
